source_mat_id,chlorophyll,chlorophyll_method,sea_surf_temp,sea_surf_temp_method,sea_subsurf_temp,sea_subsurf_temp_method,sea_surf_salinity,sea_surf_salinity_method,sea_subsurf_salinity,sea_subsurf_salinity_method,alkalinity,alkalinity_method,ammonium,ammonium_method,bac_prod,bac_prod_method,biomass,biomass_method,chem_administration,conduc,conduc_method,density,density_method,diss_carb_dioxide,diss_carb_dioxide_method,diss_inorg_carb,diss_inorg_carb_method,diss_org_carb,diss_org_carb_method,diss_org_nitro,diss_org_nitro_method,diss_oxygen,diss_oxygen_method,down_par,down_par_method,n_alkanes,n_alkanes_method,nitrate,nitrate_method,nitrite,nitrite_method,organism_count,organism_count_method,ph,ph_method,part_org_carb,part_org_carb_method,part_org_nitro,part_org_nitro_method,petroleum_hydrocarb,petroleum_hydrocarb_method,phaeopigments,phaeopigments_method,phosphate,phosphate_method,pigments,pigments_method,pressure,pressure_method,primary_prod,primary_prod_method,silicate,silicate_method,sulfate,sulfate_method,sulfide,sulfide_method,turbidity,turbidity_method,water_current,water_current_method
EMOBON_BPNS_Wa_210701_3um_1,NA,HPLC,16.848,CTD,16.817,CTD,33.088,CTD,32.979,CTD,,,,,,,,,,42401.000,CTD,1.024030,CTD,,,,,,,,,7.49,CTD,,,,,3.03,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,0.2,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,,,,,,,,,,0.99965457685,CTD,,,-0.53,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,
EMOBON_BPNS_Wa_210701_3um_2,NA,HPLC,16.848,CTD,16.817,CTD,33.088,CTD,32.979,CTD,,,,,,,,,,42401.000,CTD,1.024031,CTD,,,,,,,,,7.49,CTD,,,,,3.03,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,0.2,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,,,,,,,,,,0.99965457685,CTD,,,-0.53,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,
EMOBON_BPNS_Wa_210701_3um_3,NA,HPLC,16.848,CTD,16.817,CTD,33.088,CTD,32.979,CTD,,,,,,,,,,42401.001,CTD,1.024032,CTD,,,,,,,,,7.49,CTD,,,,,3.03,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,0.2,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,,,,,,,,,,0.99965457685,CTD,,,-0.53,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,
EMOBON_BPNS_Wa_210701_3um_4,NA,HPLC,16.848,CTD,16.817,CTD,33.088,CTD,32.979,CTD,,,,,,,,,,42401.002,CTD,1.024033,CTD,,,,,,,,,7.49,CTD,,,,,3.03,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,0.2,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,,,,,,,,,,0.99965457685,CTD,,,-0.53,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,
EMOBON_BPNS_Wa_210701_3um_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,NA,NA,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,,,NA,NA,,,,,,,,
EMOBON_BPNS_Wa_210701_0.2um_2,NA,HPLC,16.848,CTD,16.817,CTD,33.088,CTD,32.979,CTD,,,,,,,,,,42401.004,CTD,1.024035,CTD,,,,,,,,,7.49,CTD,,,,,3.03,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,0.2,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,,,,,,,,,,0.99965457685,CTD,,,-0.53,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,
EMOBON_BPNS_Wa_210701_0.2um_1,NA,HPLC,16.848,CTD,16.817,CTD,33.088,CTD,32.979,CTD,,,,,,,,,,42401.005,CTD,1.024036,CTD,,,,,,,,,7.49,CTD,,,,,3.03,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,0.2,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,,,,,,,,,,0.99965457685,CTD,,,-0.53,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,
EMOBON_BPNS_Wa_210701_0.2um_3,NA,HPLC,16.848,CTD,16.817,CTD,33.088,CTD,32.979,CTD,,,,,,,,,,42401.006,CTD,1.024037,CTD,,,,,,,,,7.49,CTD,,,,,3.03,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,0.2,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,,,,,,,,,,0.99965457685,CTD,,,-0.53,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,
EMOBON_BPNS_Wa_210701_0.2um_4,NA,HPLC,16.848,CTD,16.817,CTD,33.088,CTD,32.979,CTD,,,,,,,,,,42401.007,CTD,1.024038,CTD,,,,,,,,,7.49,CTD,,,,,3.03,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,0.2,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,,,,,,,,,,0.99965457685,CTD,,,-0.53,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,
EMOBON_BPNS_Wa_210701_0.2um_blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,NA,NA,,,,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,,,NA,NA,,,,,,,,
EMOBON_BPNS_Wa_210701_20um_1,NA,HPLC,16.848,CTD,16.817,CTD,33.088,CTD,32.979,CTD,,,,,,,,,,42401.009,CTD,1.024040,CTD,,,,,,,,,7.49,CTD,,,,,3.03,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,0.2,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,,,,,,,,,,0.99965457685,CTD,,,-0.53,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,
EMOBON_BPNS_Wa_210701_20um_2,NA,HPLC,16.848,CTD,16.817,CTD,33.088,CTD,32.979,CTD,,,,,,,,,,42401.010,CTD,1.024041,CTD,,,,,,,,,7.49,CTD,,,,,3.03,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,0.2,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,,,,,,,,,,0.99965457685,CTD,,,-0.53,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,
EMOBON_BPNS_Wa_210701_20um_3,NA,HPLC,16.848,CTD,16.817,CTD,33.088,CTD,32.979,CTD,,,,,,,,,,42401.011,CTD,1.024042,CTD,,,,,,,,,7.49,CTD,,,,,3.03,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,0.2,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,,,,,,,,,,0.99965457685,CTD,,,-0.53,SEAL QuAAtro analysis system + Skalar AutoAnalyser system,,,,,,,,
